Point(x=787, y=556)
Point(x=1059, y=300)
Point(x=565, y=522)
Point(x=483, y=560)
Point(x=482, y=559)
Point(x=482, y=559)
Point(x=480, y=568)
Point(x=480, y=577)
Point(x=480, y=586)
Point(x=482, y=583)
Point(x=478, y=576)
Point(x=477, y=575)
Point(x=477, y=575)
Point(x=478, y=575)
Point(x=478, y=574)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
Point(x=478, y=572)
