Point(x=708, y=1011)
Point(x=1764, y=43)
Point(x=882, y=435)
Point(x=741, y=540)
Point(x=740, y=533)
Point(x=741, y=538)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=534)
Point(x=744, y=534)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=744, y=537)
Point(x=2, y=0)
